1,Zaafaranah,Egypt,
2,Dahab,Egypt,
3,Hurghada,Egypt,
5,Luxor,Egypt,
6,Nuweiba,Egypt,
7,Quseir,Egypt,
8,Safaga,Egypt,
9,Sharm el Sheikh,Egypt,
10,Taba,Egypt,
11,Les Escaldes,Andorra,
12,Antigua,Antigua and Barbuda,
13,Bowral,Australia,
14,Sydney,Australia,
15,Cable Beach,Bahamas,
16,Freeport City,Bahamas,
17,Nassau,Bahamas,
18,Paradise Island,Bahamas,
19,Angra dos Reis,Brazil,
20,Belo Horizonte,Brazil,
21,Buzios,Brazil,
22,Maceio,Brazil,
23,Natal,Brazil,
24,Piracicaba,Brazil,
25,Praia do Forte,Brazil,
26,Recife,Brazil,
27,Rio de Janeiro,Brazil,
28,Salvador da Bahia,Brazil,
29,Sao Paulo,Brazil,
30,Djuni (Duni),Bulgaria,
31,Elenite,Bulgaria,
32,Sunny Beach,Bulgaria,
33,Sofia,Bulgaria,
34,Albena,Bulgaria,
35,Golden Sands,Bulgaria,
36,Sveti Konstantin,Bulgaria,
37,Rangoon (Yangon),Myanmar,
38,Guanacaste,Costa Rica,
39,San Jose,Costa Rica,
40,Bochum,Germany,
41,Celle,Germany,
42,Chemnitz,Germany,
43,Cottbus,Germany,
44,Dortmund,Germany,
45,DÃ¼sseldorf,Germany,
46,Hannover,Germany,
47,Krefeld,Germany,
48,Leipzig,Germany,
49,Michendorf,Germany,
50,Munich,Germany,
51,Oberhausen,Germany,
52,Stuttgart,Germany,
53,Barahona,Dominican Republic,
54,Bayahibe,Dominican Republic,
55,Boca Chica,Dominican Republic,
56,Cabarete,Dominican Republic,
57,Juan Dolio,Dominican Republic,
58,Las Terrenas,Dominican Republic,
59,Playa Dorada,Dominican Republic,
60,Playa Grande,Dominican Republic,
61,Puerto Plata,Dominican Republic,
62,Punta Cana,Dominican Republic,
63,Rio San Juan / San Juan,Dominican Republic,
64,Samana,Dominican Republic,
65,San Pedro de Macrois,Dominican Republic,
66,Santo Domingo,Dominican Republic,
67,Sosua,Dominican Republic,
68,Biarritz,France,
69,Calvi,France,
70,Castellare di Casinca,France,
71,Favone,France,
72,Folelli,France,
73,Ile Rousse,France,
74,Linguizzetta,France,
75,Moriani Plage,France,
76,Porto,France,
77,Solenzara,France,
78,Bagnol,France,
79,Bussy St. Georges,France,
80,Coquelles,France,
81,Courchevel,France,
82,Paris,France,
83,Roissy-en-France,France,
84,Nizza (Nice),France,
85,Aegina Town,Greece,
86,Athens,Greece,
87,Kyllini,Greece,
88,Lagonissi,Greece,
89,Loutraki,Greece,
90,Marathon,Greece,
91,Kato Achaia,Greece,
92,Vravrona,Greece,
93,Afitos (Athitos),Greece,
94,Ammoudia,Greece,
95,Epiros,Greece,
96,Gerakini,Greece,
97,Kalithea,Greece,
98,Kavala,Greece,
99,Kriopigi,Greece,
100,Metamorfosis,Greece,
101,Polichrono,Greece,
102,Psakoudia,Greece,
103,Sithonia,Greece,
104,Thassos Town,Greece,
105,Anthousa,Greece,
106,Kalampaka,Greece,
107,Kanali,Greece,
108,Parga,Greece,
109,Perdika,Greece,
110,Preveza,Greece,
111,Sivota,Greece,
112,Vrachos,Greece,
113,Kokkoni,Greece,
114,Loutra Elenis,Greece,
115,Hydra Town,Greece,
116,Frikes,Greece,
117,Masouri,Greece,
118,Amoopi,Greece,
119,Finiki,Greece,
120,Kira Panaghia,Greece,
121,Lefkos,Greece,
122,Pigadia,Greece,
123,Argostoli,Greece,
124,Karavados,Greece,
125,Lakithra,Greece,
126,Lixouri,Greece,
127,Lourdata,Greece,
128,Sami,Greece,
129,Spartia,Greece,
130,Acharavi,Greece,
131,Agios Georgios,Greece,
132,Astakeri,Greece,
133,Barbati,Greece,
134,Benitses,Greece,
135,Dassia,Greece,
136,Ermones,Greece,
137,Glyfada,Greece,
138,Gouvia,Greece,
139,Ypsos,Greece,
140,Kontokali,Greece,
141,Corfu Town,Greece,
142,Messonghi,Greece,
143,Moraitika,Greece,
144,Nissaki,Greece,
145,Paleokastritsa,Greece,
146,Paramonas,Greece,
147,Perama,Greece,
148,Pyrgi,Greece,
149,Roda,Greece,
150,San George,Greece,
151,Vitalades,Greece,
152,Yaliscari,Greece,
153,Agios Fokas,Greece,
154,Kardamena,Greece,
155,Kos Town,Greece,
156,Lambi,Greece,
157,Marmari,Greece,
158,Mastichari,Greece,
159,Psalidi,Greece,
160,Tigaki,Greece,
161,Agia Galini,Greece,
162,Agia Marina,Greece,
163,Agia Pelagia,Greece,
164,Agios Nikolaos,Greece,
165,Amoudara,Greece,
166,Analipsis,Greece,
167,Anissaras,Greece,
168,Bali,Greece,
169,Chania,Greece,
170,Hersonissos,Greece,
171,Chora Sfakion,Greece,
172,Elounda,Greece,
173,Frangokastelo,Greece,
174,Georgioupolis,Greece,
175,Gournes,Greece,
176,Gouves,Greece,
177,Heraklion,Greece,
178,Ierapetra,Greece,
179,Istron,Greece,
180,Kokkini Hani,Greece,
181,Kolymbari (Kolumbari),Greece,
182,Koutouloufari,Greece,
183,Lentas,Greece,
184,Maleme,Greece,
185,Malia,Greece,
186,Matala,Greece,
187,Paleochora,Greece,
188,Panormo,Greece,
189,Piskopiano,Greece,
190,Plakias,Greece,
191,Rethymnon,Greece,
192,Sissi,Greece,
193,Stalis,Greece,
194,Mykonos,Greece,
195,Santorin,Greece,
196,Agios Nikitas,Greece,
197,Ligia,Greece,
198,Vassiliki,Greece,
199,Myrina,Greece,
200,Agia Marina,Greece,
201,Alinda,Greece,
202,Lipsi,Greece,
203,Chios Town,Greece,
204,Lesbos,Greece,
205,Samos,Greece,
206,Kampos,Greece,
207,Skala,Greece,
208,Arkoudi,Greece,
209,Gythion,Greece,
210,Kalamata,Greece,
211,Kalogria,Greece,
212,Kardamili,Greece,
213,Koroni,Greece,
214,Logga Charani,Greece,
215,Loutra Killinis,Greece,
216,Methoni,Greece,
217,Neo Itilo,Greece,
218,Petalidi,Greece,
219,Pylos,Greece,
220,Stoupa,Greece,
221,Afandou,Greece,
222,Archangelos,Greece,
223,Faliraki,Greece,
224,Gennadi,Greece,
225,Ixia,Greece,
226,Kalathos,Greece,
227,Kalithea,Greece,
228,Kiotari,Greece,
229,Kolymbia,Greece,
230,Ladiko,Greece,
231,Lardos,Greece,
232,Lindos,Greece,
233,Pefkos,Greece,
234,Rhodes Town,Greece,
235,Ialyssos,Greece,
236,Alonissos,Greece,
237,Skiathos City,Greece,
238,Emporios,Greece,
239,Gialos,Greece,
240,Telendos,Greece,
241,Argassi,Greece,
242,Drosia,Greece,
243,Laganas,Greece,
244,Limni Keriou,Greece,
245,Lithakia,Greece,
246,Planos,Greece,
247,Vassilikos,Greece,
248,Aberdeen,United Kingdom,
249,Birmingham,United Kingdom,
250,Cardiff,United Kingdom,
251,London,United Kingdom,
252,Manchester,United Kingdom,
253,Plymouth,United Kingdom,
254,Ballater,United Kingdom,
255,Edinburgh,United Kingdom,
256,Glasgow,United Kingdom,
257,Inverness,United Kingdom,
258,Isle of Iona,United Kingdom,
259,Kinclaven/Stanley,United Kingdom,
260,Pitlochry,United Kingdom,
261,Barmouth,United Kingdom,
262,Llanberis/Snowdonia Park,United Kingdom,
263,Llandudno,United Kingdom,
264,Saundersfoot/Pembrokeshire,United Kingdom,
265,Dudley,United Kingdom,
266,Gatwick,United Kingdom,
267,Kowloon - Hongkong,Hong Kong,
268,Batubelig,Indonesia,
269,Benoa,Indonesia,
270,Candi Dasa,Indonesia,
271,Kuta,Indonesia,
272,Legian,Indonesia,
273,Lovina Beach,Indonesia,
274,Nusa Dua,Indonesia,
275,Sanur,Indonesia,
276,Tuban,Indonesia,
277,Batam Island,Indonesia,
278,Jakarta,Indonesia,
279,Yogyakarta,Indonesia,
280,Senggigi Beach,Indonesia,
281,Bukittinggi,Indonesia,
282,Kingscourt,Ireland,
283,Killaloe,Ireland,
284,Ballyconneely,Ireland,
285,Clifden,Ireland,
286,Renvyle,Ireland,
287,Killarney,Ireland,
288,Collooney,Ireland,
289,Rathnew,Ireland,
290,Dublin,Ireland,
291,Rossnowlagh,Ireland,
292,Eilat,Israel,
293,Jerusalem,Israel,
294,Nazareth,Israel,
295,Netanya,Israel,
296,Abano Terme,Italy,
