"1","AAA","Anaa Airport","Anaa","French Polynesia","0",
"2","AAB","Arrabury Airport","Arrabury","Australia","0",
"3","AAC","Al Arish Airport","Al Arish","Egypt","0",
"4","AAD","Ad-Dabbah Airport","Ad-Dabbah","Sudan","0",
"5","AAE","Les Salines Airport","Annaba","Algeria","0",
"6","AAF","Apalachicola Municipal Airport","Apalachicola","USA - Florida","0",
"7","AAG","Arapoti Airport","Arapoti","Brazil","0",
"8","AAH","Aachen/Merzbruck Airport","Aachen","Germany","0",
"9","AAI","Arraias Airport","Arraias","Brazil","0",
"10","AAJ","Cayana Airstrip","Awaradam","Suriname","0",
"11","AAK","Aranuka Airport","Aranuka","Kiribati","0",
"12","AAL","Aalborg Airport","Aalborg","Denmark","0",
"13","AAM","Mala Mala Airport","Mala Mala","South Africa","0",
"14","AAN","Al Ain Airport","Al Ain","UAE","0",
"15","AAO","Anaco Airport","Anaco","Venezuela","0",
"16","AAP","Andrau Airpark","Houston","USA - Texas","0",
"17","AAQ","Anapa Airport","Anapa","Russia","0",
"18","AAR","Tirstrup Airport","Aarhus","Denmark","0",
"19","AAS","Apalapsili Airport","Apalapsili","Indonesia","0",
"20","AAT","Altay Airport","Altay","China","0",
"21","AAU","Asau Airport","Asau","Samo","0",
"22","AAV","Alah Airport","Alah","Philippines","0",
"23","AAW","Abbottabad Airport","Abbottabad","Pakistan","0",
"24","AAX","Araxa Airport","Araxa","Brazil","0",
"25","AAY","Al Ghaydah Airport","Al Ghaydah","Yemen","0",
"26","ABA","Abakan Airport","Abakan (ABA)","Russia","0",
"27","ABB","Royal Air Force Station","Abingdon","United Kingdom","0",
"28","ABC","Los Llanos Airport","Albacete","Spain","0",
"29","ABD","Abadan Airport","Abadan","Iran","0",
"30","ABE","Lehigh Valley International Airport","Allentown","USA - Philadelphia","0",
"31","ABF","Abaiang Airport","Abaiang","Kiribati","0",
"32","ABG","Abingdon Airport","Abingdon","Australia","0",
"33","ABH","Alpha Airport","Alpha","Australia","0",
"34","ABI","Abilene Municipal Airport","Abilene","USA - Texas","0",
"35","ABK","Kabri Dar Airport","Kabri Dar","Ethiopia","0",
"36","ABL","Ambler Airport","Ambler","USA - Alaska","0",
"37","ABM","Bamaga Airport","Bamaga","Australia","0",
"38","ABN","Albina Airport","Albina","Suriname","0",
"39","ABP","Atkamba Airport","Atkamba","Papua New Guinea","0",
"40","ABQ","Albuquerque International Airport","Albuquerque","USA - New Mexico","0",
"41","ABR","Aberdeen Municipal Airport","Aberdeen","USA - South Dakota","0",
"42","ABS","Abu Simbel Airport","Abu Simbel","Egypt","0",
"43","ABT","Al-Aqiq Airport","Al-Baha","Saudi Arabia","0",
"44","ABU","Atambua Airport","Atambua","Indonesia","0",
"45","ABV","International Airport","Abuja","Nigeria","0",
"46","ABW","Abau Airport","Abau","Papua New Guinea","0",
"47","ABX","Albury Airport","Albury","Australia","0",
"48","ABY","Dougherty County Airport","Albany","USA - Georgia","0",
"49","ABZ","Dyce Airport","Aberdeen","United Kingdom","0",
"50","ACA","Alvarez International Airport","Acapulco","Mexico","0",
"51","ACB","Antrim County Airport","Bellaire","USA - Michigan","0",
"52","ACC","Airport","Accra","Ghana","0",
"53","ACD","Acandi Airport","Acandi","Colombia","0",
"54","ACE","Lanzarote Airport","Lanzarote","Spain","0",
"55","ACH","Altenrhein Airport","Altenrhein","Switzerland","0",
"56","ACI","The Blaye Airport","Alderney","United Kingdom","0",
"57","ACJ","Anuradhapura Airport","Anuradhapura","Sri Lanka","0",
"58","ACK","Nantucket Memorial Airport","Nantucket","USA - Massachusetts","0",
"59","ACL","Aguaclara Airport","Aguaclara","Colombia","0",
"60","ACM","Arica Airport","Arica","Colombia","0",
"61","ACN","Ciudad Acuna International Airport","Ciudad Acuna","Mexico","0",
"62","ACO","Ascona Airport","Ascona","Switzerland","0",
"63","ACP","Sahand Airport","Sahand","Iran","0",
"64","ACR","Araracuara Airport","Araracuara","Colombia","0",
"65","ACS","Achinsk Airport","Achinsk","Russia","0",
"66","ACT","Waco Municipal Airport","Waco","USA - Texas","0",
"67","ACU","Achutupo Airport","Achutupo","Panama","0",
"68","ACV","Arcata Airport","Arcata","USA - California","0",
"69","ACX","Xingyi Airport","Xingyi","China","0",
"70","ACY","Atlantic City International Airport","Atlantic City","USA - New Jersey","0",
"71","ACZ","Zabol Airport","Zabol","Iran","0",
"72","ADA","Adana Airport","Adana","Turkey","0",
"73","ADB","Adnan Menderes Airport","Izmir","Turkey","0",
"74","ADC","Andakombe Airport","Andakombe","Papua New Guinea","0",
"75","ADD","Airport","Addis Ababa","Ethiopia","0",
"76","ADE","Aden International Airport","Aden","Yemen","0",
"77","ADF","Adiyaman Airport","Adiyaman","Turkey","0",
"78","ADG","Lenawee County Airport","Adrian","USA - Michigan","0",
"79","ADH","Aldan Airport","Aldan","Russia","0",
"80","ADI","Arandis Airport","Arandis","Namibia","0",
"81","ADJ","Civil - Marka Airport","Amman (AMM)","Jordan","0",
"82","ADK","Adak Island Naval Station","Adak Island","USA - Alaska","0",
"83","ADL","Adelaide Airport","Adelaide","Australia","0",
"84","ADM","Ardmore Municipal Airport","Ardmore","USA - Oklahoma","0",
"85","ADN","Andes Airport","Andes","Colombia","0",
"86","ADO","Andamooka Airport","Andamooka","Australia","0",
"87","ADP","Ampara Airport","Ampara","Sri Lanka","0",
"88","ADQ","Kodiak Airport","Kodiak","USA - Alaska","0",
"89","ADR","Andrews Airport","Andrews","USA - South Carolina","0",
"90","ADS","Addison Airport","Dallas","USA - Texas","0",
"91","ADT","Ada Airport","Ada","USA - Oklahoma","0",
"92","ADU","Ardabil Airport","Ardabil","Iran","0",
"93","ADV","Andover Airport","Andover","United Kingdom","0",
"94","ADW","Andrews Air Force Base","Camp Springs","USA - Maryland","0",
"95","ADX","Leuchars Airport","Saint Andrews","United Kingdom","0",
"96","ADY","Alldays Airport","Alldays","South Africa","0",
"97","ADZ","San Andres Island Airport","San Andres Island","Colombia","0",
"98","AEA","Abemama Atoll Airport","Abemama Atoll","Kiribati","0",
"99","AED","Aleneva Airport","Aleneva","USA - Alaska","0",
"100","AEG","Aek Godang Airport","Aek Godang","Indonesia","0",
"101","AEH","Abecher Airport","Abecher","Mali","0",
"102","AEI","Algeciras Airport","Algeciras","Spain","0",
"103","AEK","Aseki Airport","Aseki","Papua New Guinea","0",
"104","AEL","Albert Lea Airport","Albert Lea","USA - Minnesota","0",
"105","AEO","Aioun El Atrouss Airport","Aioun El Atrouss","Mauritania","0",
"106","AEP","Jorge Newbery Airport","Buenos Aires","Argentina","0",
"107","AER","Adler/Sochi Airport","Adler/Sochi","Russia","0",
